r,l,t,is_success,episode_success,episode_grasp_success,episode_pick_success,episode_collision_count,training_stage_id,episode_object_goal_distance_mean,episode_object_goal_distance_final,episode_gripper_object_distance_mean,episode_gripper_object_distance_min,episode_gripper_object_distance_final,episode_object_lift_mean,episode_object_lift_max,episode_object_lift_final,episode_goal_lift_final,episode_action_norm_mean,episode_reward_environment_mean,episode_reward_total_mean,episode_reward_goal_distance_mean,episode_reward_gripper_distance_mean,episode_reward_lift_mean,episode_reward_height_overshoot_mean,episode_reward_success_bonus_mean,episode_reward_action_penalty_mean,episode_reward_collision_penalty_mean,episode_stage_reach_fraction,episode_stage_grasp_fraction,episode_stage_transport_fraction,episode_stage_success_fraction,monitor_file,episode,cumulative_timesteps,run,algorithm,reward,label
-18.998175,50,33.793345,0.0,0.0,0.0,0.0,0.0,0.0,0.3519297334321944,0.3519297333582361,0.2346867140889191,0.177816348104646,0.2875922294814836,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1939115353065679,1.1335460282199827,-0.3519297334321944,-0.3799635016585347,-0.0879824333580486,-0.281624056906703,0.0009784488884165,0.0,0.0,-0.0113354602821998,0.0,1.0,0.0,0.0,0.0,env_7.monitor.csv,1,50,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-18.286013,50,33.94703,0.0,0.0,0.0,0.0,0.0,0.0,0.3398301557020259,0.3398301556395747,0.224985673720668,0.1531142579404366,0.1808234431068244,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1590144646324136,1.17583556429732,-0.3398301557020259,-0.3657202541448645,-0.0849575389255064,-0.2699828084648015,0.0009784488884165,0.0,0.0,-0.0117583556429731,0.0,1.0,0.0,0.0,0.0,env_7.monitor.csv,2,100,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-19.184799,50,38.180649,0.0,0.0,0.0,0.0,0.0,0.0,0.3582475691377174,0.358247569052489,0.2368530041471007,0.1901745181113284,0.3187149404659649,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2266262581842535,1.0888940253994392,-0.3582475691377174,-0.3836959886265281,-0.0895618922844293,-0.2842236049765208,0.0009784488884165,0.0,0.0,-0.0108889402539943,0.0,1.0,0.0,0.0,0.0,env_7.monitor.csv,3,150,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-14.342986,50,42.905558,0.0,0.0,0.0,0.0,0.0,0.0,0.1987746530218825,0.1987746529017963,0.189054421027038,0.1247567490676548,0.2581302603704262,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1782401681098724,1.127920734770564,-0.1987746530218825,-0.2868597269472053,-0.0496936632554706,-0.2268653052324456,0.0009784488884165,0.0,0.0,-0.0112792073477056,0.0,1.0,0.0,0.0,0.0,env_7.monitor.csv,4,200,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-25.036051,50,45.216621,0.0,0.0,0.0,0.0,0.0,0.0,0.2588824233920801,0.2588824233284834,0.3542689446346672,0.1539138325539814,0.4298847707979165,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1244567906606597,1.1856135917826114,-0.2588824233920801,-0.50072102643903,-0.06472060584802,-0.4251227335616005,0.0009784488884165,0.0,0.0,-0.0118561359178261,0.0,1.0,0.0,0.0,0.0,env_2.monitor.csv,5,250,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-16.795642,50,45.368985,0.0,0.0,0.0,0.0,0.0,0.0,0.1158340759296636,0.1158340758131317,0.2470316365713627,0.164164526119134,0.3334438506746119,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1029193166205016,1.1494808966330774,-0.1158340759296636,-0.3359128429459652,-0.0289585189824159,-0.2964379638856352,0.0009784488884165,0.0,0.0,-0.0114948089663307,0.0,1.0,0.0,0.0,0.0,env_2.monitor.csv,6,300,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-20.99766,50,46.000661,0.0,0.0,0.0,0.0,0.0,0.0,0.3278256413830447,0.32782564129423,0.2734249217401044,0.1609265610362716,0.3260861159170171,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2163357619711391,1.086532416991694,-0.3278256413830447,-0.419953191715387,-0.0819564103457611,-0.3281099060881251,0.0009784488884165,0.0,0.0,-0.0108653241699169,0.0,1.0,0.0,0.0,0.0,env_4.monitor.csv,7,350,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-11.899806,50,46.154091,0.0,0.0,0.0,0.0,0.0,0.0,0.1851638824793263,0.1953777235378475,0.1512317671664964,0.0614912850721604,0.1694210397588025,0.0049066111026571,0.0055071262621332,0.0048922445797835,0.1099704902777119,1.120835912542436,-0.1851638824793263,-0.2379961281245202,-0.0462909706198315,-0.1814781205997957,0.0009813222205314,0.0,0.0,-0.0112083591254243,0.0,0.98,0.02,0.0,0.0,env_4.monitor.csv,8,400,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-15.035028,50,47.134514,0.0,0.0,0.0,0.0,0.0,0.0,0.2694975790373552,0.2694975789789406,0.1863757712388621,0.1417491920237649,0.1509446052966285,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1192170449013319,1.0653692281015272,-0.2694975790373552,-0.300700563638572,-0.0673743947593388,-0.2236509254866345,0.0009784488884165,0.0,0.0,-0.0106536922810152,0.0,1.0,0.0,0.0,0.0,env_0.monitor.csv,9,450,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-20.218159,50,47.268314,0.0,0.0,0.0,0.0,0.0,0.0,0.3081864959512128,0.3081864958512296,0.2644063184740766,0.1711318209999265,0.2742155629312755,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2286638783789641,1.1007431277160762,-0.3081864959512128,-0.4043631885454394,-0.0770466239878032,-0.3172875821688919,0.0009784488884165,0.0,0.0,-0.0110074312771607,0.0,1.0,0.0,0.0,0.0,env_5.monitor.csv,10,500,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-16.103706,50,47.270726,0.0,0.0,0.0,0.0,0.0,0.0,0.3332527964512353,0.3332527963955931,0.1899492303916995,0.1486496301818158,0.183672332900452,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1395538296217561,1.180029224556691,-0.3332527964512353,-0.3220741189399988,-0.0833131991128088,-0.2279390764700395,0.0009784488884165,0.0,0.0,-0.0118002922455669,0.0,1.0,0.0,0.0,0.0,env_1.monitor.csv,11,550,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-21.84402,50,47.287713,0.0,0.0,0.0,0.0,0.0,0.0,0.1246905332055269,0.1246905330899245,0.3299467794658903,0.1713680296859988,0.4558625217798616,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1095725884156262,1.0750075228551823,-0.1246905332055269,-0.4368803950005854,-0.0311726333013817,-0.3959361353590684,0.0009784488884165,0.0,0.0,-0.0107500752285518,0.0,1.0,0.0,0.0,0.0,env_0.monitor.csv,12,600,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-19.66255,50,47.421661,0.0,0.0,0.0,0.0,0.0,0.0,0.2108748792038249,0.2108748790717423,0.2752172995675068,0.179864769959636,0.3414792415335222,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2071640152525971,1.1249964868823512,-0.2108748792038249,-0.3932509952623711,-0.0527187198009562,-0.3302607594810081,0.0009784488884165,0.0,0.0,-0.0112499648688235,0.0,1.0,0.0,0.0,0.0,env_5.monitor.csv,13,650,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-23.945123,50,47.423901,0.0,0.0,0.0,0.0,0.0,0.0,0.362840345423222,0.3628403453329483,0.3143135965332405,0.2003848059653788,0.2726124814855413,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.242763102469542,1.1994502611694884,-0.362840345423222,-0.4789024559189723,-0.0907100863558055,-0.3771763158398885,0.0009784488884165,0.0,0.0,-0.0119945026116948,0.0,1.0,0.0,0.0,0.0,env_1.monitor.csv,14,700,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-13.780309,50,47.429532,0.0,0.0,0.0,0.0,0.0,0.0,0.1487015627350224,0.1487015626350724,0.1898600075568358,0.1149739154349301,0.2003435015461467,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1128272099082832,1.157723910365319,-0.1487015627350224,-0.2756061899671951,-0.0371753906837556,-0.2278320090682029,0.0009784488884165,0.0,0.0,-0.0115772391036531,0.0,1.0,0.0,0.0,0.0,env_6.monitor.csv,15,750,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-17.218871,50,47.43347,0.0,0.0,0.0,0.0,0.0,0.0,0.1741650045528971,0.1741650044292465,0.242264602049191,0.1091541723244423,0.2931890117690999,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1612867070343915,1.1097087428994383,-0.1741650045528971,-0.3443774121378313,-0.0435412511382242,-0.2907175224590291,0.0009784488884165,0.0,0.0,-0.0110970874289943,0.0,1.0,0.0,0.0,0.0,env_3.monitor.csv,16,800,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-17.078282,50,47.496626,0.0,0.0,0.0,0.0,0.0,0.0,0.2592166729331861,0.2592166728033522,0.2224460638774348,0.152473294174001,0.3078761604735845,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.249299834888703,1.080464746912038,-0.2592166729331861,-0.3415656434669222,-0.0648041682332965,-0.2669352766529219,0.0009784488884165,0.0,0.0,-0.0108046474691203,0.0,1.0,0.0,0.0,0.0,env_7.monitor.csv,17,850,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-18.371264,50,47.583121,0.0,0.0,0.0,0.0,0.0,0.0,0.2777551388582633,0.2777551387544446,0.2398330176226864,0.1456131571179982,0.2696267284760505,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.214304003404292,1.1165332860242438,-0.2777551388582633,-0.3674252898336153,-0.0694387847145658,-0.2877996211472237,0.0009784488884165,0.0,0.0,-0.0111653328602424,0.0,1.0,0.0,0.0,0.0,env_6.monitor.csv,18,900,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-18.601137,50,47.586583,0.0,0.0,0.0,0.0,0.0,0.0,0.2539053859586225,0.2539053858366527,0.2493583181972998,0.1513539380321,0.282386367305358,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2297915305395555,1.0294862553841655,-0.2539053859586225,-0.3720227419918403,-0.0634763464896556,-0.2992299818367596,0.0009784488884165,0.0,0.0,-0.0102948625538416,0.0,1.0,0.0,0.0,0.0,env_3.monitor.csv,19,950,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-14.414367,50,49.603551,0.0,0.0,0.0,0.0,0.0,0.0,0.2509855359574289,0.2509855358980696,0.1794228684369106,0.1226390331142647,0.1815339944520817,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.11308616399717,1.1211963384093866,-0.2509855359574289,-0.2882873406093272,-0.0627463839893572,-0.2153074421242927,0.0009784488884165,0.0,0.0,-0.0112119633840938,0.0,1.0,0.0,0.0,0.0,env_2.monitor.csv,20,1000,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-13.137509,50,50.388136,0.0,0.0,0.0,0.0,0.0,0.0,0.20626540266322,0.2062654025358095,0.1674688343082163,0.1190173408089638,0.2512841738772797,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1957440291069371,1.1199672764363255,-0.20626540266322,-0.2627501757116112,-0.051566350665805,-0.2009626011698595,0.0009784488884165,0.0,0.0,-0.0111996727643632,0.0,1.0,0.0,0.0,0.0,env_4.monitor.csv,21,1050,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-32.022044,50,51.522406,0.0,0.0,0.0,0.0,0.0,0.0,0.521028315768506,0.7701299083796823,0.4162196632883315,0.0737070583229815,0.6516317000687198,-0.2004944913337065,0.0233342808675017,-0.3951077554202164,0.2167575245610642,1.135102891240725,-0.521028315768506,-0.6404408756221902,-0.1302570789421265,-0.4994635959459977,0.0006308281783412,0.0,0.0,-0.0113510289124072,0.0,1.0,0.0,0.0,0.0,env_0.monitor.csv,22,1100,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-15.700384,50,51.64826,0.0,0.0,0.0,0.0,0.0,0.0,0.3150299947988874,0.3150299947068993,0.1878054407745433,0.1306103958065996,0.2426693530750494,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2153420361092163,1.0862091766834274,-0.3150299947988874,-0.3140076705075915,-0.0787574986997218,-0.2253665289294519,0.0009784488884165,0.0,0.0,-0.0108620917668342,0.0,1.0,0.0,0.0,0.0,env_7.monitor.csv,23,1150,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-16.579078,50,51.655474,0.0,0.0,0.0,0.0,0.0,0.0,0.2569138349243484,0.2569138347966532,0.2137560830374315,0.1195197056114869,0.3023084553039409,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.2431382054332082,1.1824251457607524,-0.2569138349243484,-0.3315815609451958,-0.0642284587310871,-0.2565072996449178,0.0009784488884165,0.0,0.0,-0.0118242514576075,0.0,1.0,0.0,0.0,0.0,env_5.monitor.csv,24,1200,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-13.051097,50,51.658866,0.0,0.0,0.0,0.0,0.0,0.0,0.2927446666497963,0.2920057938757651,0.1480284501042156,0.0664732161609648,0.3224056808717699,0.0050900485048068,0.0131097252751125,0.0048922445797835,0.249682261641118,1.125197567710531,-0.2927446666497963,-0.261021942198965,-0.073186166662449,-0.1776341401250586,0.0010503402656481,0.0,0.0,-0.0112519756771053,0.0,0.98,0.02,0.0,0.0,env_1.monitor.csv,25,1250,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-27.586695,50,51.817041,0.0,0.0,0.0,0.0,0.0,0.0,0.2421779470124497,0.2421779469341174,0.4004746985105151,0.2191029157680805,0.4847371503017995,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1426579371750839,1.159823340793539,-0.2421779470124497,-0.5517339094852494,-0.0605444867531124,-0.480569638212618,0.0009784488884165,0.0,0.0,-0.0115982334079353,0.0,1.0,0.0,0.0,0.0,env_6.monitor.csv,26,1300,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
-14.109768,50,51.820415,0.0,0.0,0.0,0.0,0.0,0.0,0.2349957528520296,0.2349957527593943,0.1774043983026212,0.0882020515726724,0.1361371097030771,0.0048922444420829,0.0048922445797835,0.0048922445797835,0.1629813154278818,1.1539589330734656,-0.2349957528520296,-0.2821953566184711,-0.0587489382130074,-0.2128852779631455,0.0009784488884165,0.0,0.0,-0.0115395893307346,0.0,1.0,0.0,0.0,0.0,env_3.monitor.csv,27,1350,20260510_003902_sac_curriculum_air,SAC,shaped,sac_curriculum_air
