run,experiment_name,label,algorithm,reward,seed,total_timesteps,requested_total_timesteps,train_seconds,stages,early_stop_reason,early_stop_timesteps,eval_episodes,eval_mean_reward,eval_std_reward,eval_mean_length,eval_goal_success_rate,eval_goal_success_count,eval_grasp_success_rate,eval_grasp_success_count,eval_pick_success_rate,eval_pick_success_count,eval_mean_collision_count,eval_total_collision_count,eval_mean_object_goal_distance_final,eval_mean_gripper_object_distance_min,eval_mean_object_lift_max,train_episodes,last_reward_mean,last_reward_std,first_success_timestep,last_component_goal distance,last_component_gripper distance,last_component_lift,last_component_height overshoot,last_component_success bonus,last_component_action penalty,last_component_collision penalty,last_stage_reach_fraction,last_stage_grasp_fraction,last_stage_transport_fraction,last_stage_success_fraction
20260528_003622_sac_curriculum_air_seed_42,sac_curriculum_air_seed_42,sac_curriculum_air_seed_42,SAC,shaped,42,400000,1200000,3281.804554632,3,target_reached:pick_success_rate=1.0000 target=0.9500,400000,100,309.93056280646215,14.800559540275643,50.0,1.0,100,1.0,100,1.0,100,0.0,0,0.023702034273022546,0.00938650861316256,0.19109685908317647,8000,375.90603307,22.536524290231043,150300,-0.25250212677611567,-0.0017377025522498479,0.03507393019837991,-0.007828208534213836,7.751999999999999,-0.006885232155423344,0.0,0.050599999999999985,0.1176,0.056600000000000004,0.7751999999999998
20260528_013020_sac_curriculum_air_seed_123,sac_curriculum_air_seed_123,sac_curriculum_air_seed_123,SAC,shaped,123,500000,1200000,4477.062718911,3,target_reached:pick_success_rate=1.0000 target=0.9500,500000,100,301.32569449731477,15.259603524213942,50.0,1.0,100,1.0,100,1.0,100,0.0,0,0.013887775244265061,0.0067907998202379775,0.17333184004382485,10000,359.0845069100001,24.87476519620778,156850,-0.2685291308218895,-0.0018247226348334872,0.03422206051889924,-0.010652698710093302,7.436000000000002,-0.007525370438270874,0.0,0.07559999999999999,0.1294,0.051399999999999994,0.7436
20260528_024300_sac_curriculum_air_seed_2026,sac_curriculum_air_seed_2026,sac_curriculum_air_seed_2026,SAC,shaped,2026,600000,1200000,8458.887544091998,3,target_reached:pick_success_rate=1.0000 target=0.9500,600000,100,323.87864080835277,11.968453041185562,50.0,1.0,100,1.0,100,1.0,100,0.0,0,0.008697743656157204,0.004200709051422311,0.17704332710014026,12000,392.22278353999997,17.316768463428023,231600,-0.2123693704889503,-0.0012656156540103239,0.03740240997588835,-0.0017431699500580799,8.033999999999999,-0.011568582495795144,0.0,0.0434,0.10559999999999999,0.047599999999999996,0.8034
