algorithm,comparison,total_training_collisions_base,total_training_collisions_penalized,collision_change_percent,mean_training_collisions_base,mean_training_collisions_penalized,eval_success_base,eval_success_penalized,eval_grasp_base,eval_grasp_penalized,eval_pick_penalized,interpretation
PPO,shaped vs penalized,970,254,-73.8,0.1601,0.0419,0.02,0.02,0.00,0.00,0.00,Penalty reduced training contacts but did not improve final success or grasping.
SAC,shaped vs penalized,219,143,-34.7,0.0365,0.0238,0.02,0.03,0.00,0.00,0.00,Penalty reduced training contacts slightly but final policy still failed to grasp/pick.
