run,algorithm,reward,seed,total_timesteps,train_seconds,eval_episodes,eval_mean_reward,eval_std_reward,eval_mean_length,eval_goal_success_rate,eval_goal_success_count,eval_grasp_success_rate,eval_grasp_success_count,eval_pick_success_rate,eval_pick_success_count,eval_mean_collision_count,eval_total_collision_count,eval_mean_object_goal_distance_final,eval_mean_gripper_object_distance_min,eval_mean_object_lift_max,train_episodes,train_mean_reward,train_last20_mean_reward,train_reward_rolling_std20,train_episode_success_rate,train_last20_episode_success,train_last100_episode_success,train_first_success_episode,train_first_success_timestep,train_first_success_seconds,train_episode_grasp_success_rate,train_last20_episode_grasp_success,train_last100_episode_grasp_success,train_first_grasp_success_episode,train_first_grasp_success_timestep,train_first_grasp_success_seconds,train_episode_pick_success_rate,train_last20_episode_pick_success,train_last100_episode_pick_success,train_first_pick_success_episode,train_first_pick_success_timestep,train_first_pick_success_seconds,train_total_collision_count,train_mean_collision_count,train_last20_episode_collision_count,train_last100_episode_collision_count
20260528_003622_sac_curriculum_air_seed_42,SAC,shaped,42,400000,3281.804554632,100,309.93056280646215,14.800559540275643,50.0,1.0,100,1.0,100,1.0,100,0.0,0,0.023702034273022546,0.00938650861316256,0.19109685908317647,8000,108.269364577125,376.08718145,154.61558162009993,0.470375,1.0,1.0,3006,150300,1176.133965,0.56225,1.0,1.0,78,3900,52.529673,0.47025,1.0,1.0,3006,150300,1176.133965,382.0,0.04775,0.0,0.0
20260528_013020_sac_curriculum_air_seed_123,SAC,shaped,123,500000,4477.062718911,100,301.32569449731477,15.259603524213942,50.0,1.0,100,1.0,100,1.0,100,0.0,0,0.013887775244265061,0.0067907998202379775,0.17333184004382485,10000,126.18885716919999,359.96538124999995,163.14949009482444,0.4292,1.0,1.0,3137,156850,1208.565599,0.6295,1.0,1.0,59,2950,44.854553,0.4291,1.0,1.0,3137,156850,1208.565599,77.0,0.0077,0.0,0.0
20260528_024300_sac_curriculum_air_seed_2026,SAC,shaped,2026,600000,8458.887544091998,100,323.87864080835277,11.968453041185562,50.0,1.0,100,1.0,100,1.0,100,0.0,0,0.008697743656157204,0.004200709051422311,0.17704332710014026,12000,181.90450734458332,395.91551325,186.72737647004092,0.5225833333333333,1.0,1.0,4632,231600,3183.884277,0.589,1.0,1.0,98,4900,111.928683,0.5225833333333333,1.0,1.0,4632,231600,3183.884277,136.0,0.011333333333333334,0.0,0.0
